model,cell_type,source_support,target_support,error_rate,median_predictive_uncertainty,median_latent_uncertainty,source_variance_fraction,seed_variance_fraction,interaction_fraction,median_source_variance,median_seed_variance
scvi_matched,B intermediate,68,66,0.2878787878787879,0.32395857274532314,0.11024316484108568,0.38181278276717306,0.025928553488266497,0.5755914935834879,0.010127488164201368,0.0005914099530937623
scvi_matched,B memory,99,79,0.1518987341772152,0.19780253022909167,0.1092510424554348,0.2859679991319896,0.0,0.6672373103727498,0.0024609774705831116,0.0
scvi_matched,B naive,315,128,0.0546875,0.1358703911304474,0.11890836264938115,0.11898890591867337,0.0,0.8402303559966775,0.0027588501956199592,0.0
scvi_matched,CD14 Mono,1237,937,0.007470651013874066,0.0050350397825240645,0.11817571017891168,0.13497906290387718,0.022951550021125165,0.7763040499805288,1.0884149991596807e-06,8.400813769071279e-08
scvi_matched,CD16 Mono,103,131,0.06870229007633588,0.013487687706947304,0.1049942534416914,0.0,0.0,1.0,0.0,0.0
scvi_matched,CD4 Naive,795,378,0.2619047619047619,0.40822116248309614,0.12191784307360648,0.09451987616673842,1.1896812469069967e-05,0.8455201473947593,0.002109748132032918,3.8578045141804406e-07
scvi_matched,CD4 TCM,580,327,0.18960244648318042,0.2891279816627502,0.11762677598744631,0.11545147301022993,0.006406501223917952,0.8082546758948482,0.0008816223793821527,1.6847902500014435e-05
scvi_matched,CD4 TEM,281,272,0.2647058823529412,0.3323262117803097,0.11715325228869915,0.03481599394427223,0.0023341718936507605,0.8788758060139188,0.00036750708274623363,3.509464517398933e-05
scvi_matched,CD8 Naive,320,48,0.020833333333333332,0.22406022399663927,0.11780335763469338,0.10501897837970922,0.00702284921553435,0.7913273979848715,0.002314948440026612,4.4493223465203335e-05
scvi_matched,CD8 TCM,77,34,0.4117647058823529,0.4504600349580869,0.116881169565022,0.0662321224910655,0.030335379005377014,0.8755168702559492,6.606526517027598e-05,9.218911137733872e-05
scvi_matched,CD8 TEM,246,147,0.17687074829931973,0.34763724934309725,0.11494240928441286,0.053084133785221324,0.012567240198473623,0.8619142028968237,0.0007974630784380737,9.049117116643572e-05
scvi_matched,Eryth,144,86,0.5,0.2006481781601906,0.1399473762139678,0.08946832558462245,0.051938987822138794,0.7968684880629213,0.00028540459770171257,0.00018135683700432233
scvi_matched,ILC,65,98,0.7448979591836735,0.4462233176920563,0.11459358064457774,0.13696197576477548,0.019877013988802147,0.7515354026226923,0.002597914593577004,0.0002708834932166814
scvi_matched,MAIT,356,24,0.125,0.26336615048348905,0.11713113700971006,0.03756118535322814,0.05390294291137549,0.8841664858185108,0.00033506189673930824,0.0007391723873446763
scvi_matched,NK,760,251,0.00398406374501992,0.005273422598838784,0.1211872635409236,0.03800270509036342,0.0,0.9091658108238454,4.430920101405687e-07,0.0
scvi_matched,NK_CD56bright,35,30,0.13333333333333333,0.203847448527813,0.107148262206465,0.1153979741018535,0.0037393190561917497,0.8169761909401171,0.0038139466516197876,0.00016777308701361945
scvi_matched,Treg,241,59,0.847457627118644,0.48294717669487,0.11993303038179874,0.056273720678780545,0.041758688416617534,0.8368702179177165,0.00021101220016346973,0.00020865377397169746
scvi_matched,cDC2,135,125,0.04,0.001270031929016091,0.09617432951927185,0.15455495700874114,0.009603361267105776,0.7859189643879769,4.522563875397711e-08,9.376945087053233e-10
scvi_matched,dnT,76,14,0.9285714285714286,0.5036760143935681,0.12743276469409465,0.11883769984520007,0.14811897579724687,0.6935532038224896,0.0003785793482633735,0.0006484949811398043
scvi_matched,gdT,59,71,0.8028169014084507,0.44648211598396303,0.11561038326472044,0.24080060495853756,0.002779113681681348,0.7217251741491622,0.003232491297998641,3.1956626041951004e-05
totalvi,B intermediate,68,66,0.24242424242424243,0.3425259545445442,0.023416325030848385,0.07851109370015538,0.0541589019606291,0.8069841585952816,0.0024098892613879136,0.0010732382123747656
totalvi,B memory,99,79,0.20253164556962025,0.23310856819152836,0.02300664922222495,0.0,0.004358714155306604,0.9137470898998726,0.0,3.6162617069841056e-05
totalvi,B naive,315,128,0.015625,0.10546263456344601,0.027353885024785994,0.05923002616843187,0.0,0.9181189928395177,0.0007638325066500638,0.0
totalvi,CD14 Mono,1237,937,0.004268943436499467,0.01042803823947902,0.020165353268384933,0.08748451897556124,0.11381700880828417,0.7535026435286749,6.879722634227825e-06,8.860388604396647e-06
totalvi,CD16 Mono,103,131,0.03816793893129771,0.014102780818939231,0.015103337122127414,0.13874666762968918,0.10523710279441624,0.7323023239060429,1.2519742837735129e-05,8.797200101397904e-06
totalvi,CD4 Naive,795,378,0.07936507936507936,0.2587953582406044,0.03128782948479056,0.03210635717291695,0.0,0.8973435114079216,0.0007291958961776427,0.0
totalvi,CD4 TCM,580,327,0.2996941896024465,0.29374470263719554,0.028920826129615308,0.061541623377409774,0.0,0.8879297717086493,0.0008640924761475335,0.0
totalvi,CD4 TEM,281,272,0.17647058823529413,0.20556631535291675,0.028629287239164115,0.002943895249898621,0.0,0.9513815876654853,7.490188762483245e-05,0.0
totalvi,CD8 Naive,320,48,0.0625,0.25266512036323546,0.02852914887480438,0.1560090151749031,0.07051225263283964,0.7340015177798034,0.0055224019854902655,0.0017592543322355783
totalvi,CD8 TCM,77,34,0.7352941176470589,0.5339931983500719,0.028263429179787636,0.10042624165663405,0.006364623814157668,0.8240910953842024,0.0016440445226614925,8.190499596254199e-07
totalvi,CD8 TEM,246,147,0.14285714285714285,0.3209564000368118,0.02759339939802885,0.007084363161487876,0.0,0.9447757888317012,0.00020072451023806051,0.0
totalvi,Eryth,144,86,0.5,0.28564820140600206,0.027021745871752503,0.05121462506078481,0.049881602956731705,0.8626066628756937,0.0014944986066445366,0.0010342725724433572
totalvi,ILC,65,98,0.9183673469387755,0.40937376059591774,0.026465942710638048,0.2773172099351878,0.050095071248967366,0.6453449212926794,0.0020345229832678877,0.0005926304685286122
totalvi,MAIT,356,24,0.16666666666666666,0.1546494409441948,0.028702914156019686,0.0,0.0,1.0,0.0,0.0
totalvi,NK,760,251,0.0,0.005089601874351479,0.028536891750991344,0.0,0.0,0.9932304593661317,0.0,0.0
totalvi,NK_CD56bright,35,30,0.23333333333333334,0.3329257186502218,0.024975285213440657,0.01890814150936569,0.011160811877026057,0.7648482440871778,0.0004792343711951634,0.000519565628574905
totalvi,Treg,241,59,0.7966101694915254,0.4763510942459106,0.029031630791723727,0.0,0.0,0.9532986025945624,0.0,0.0
totalvi,cDC2,135,125,0.088,0.002958819270133972,0.014222303498536348,0.017581498278011965,0.06252229895144694,0.8723808417912007,8.440389461128222e-08,5.455563232637585e-07
totalvi,dnT,76,14,0.9285714285714286,0.36518981233239173,0.033262239163741464,0.09396730092498233,0.0,0.8307901328300962,0.00048436933917456984,0.0
totalvi,gdT,59,71,0.9295774647887324,0.42940611690282826,0.02843756042420864,0.09383326557298494,0.0,0.886795734976695,0.00031840963133525954,0.0
